"price";"product_url";"designation";"category";"image_url";"description";"merchant_id";"in_stock";"Stock_detail";"product_type";"condition"
"17.26";"http://www.bulksupplements.com/edta-calcium-disodium.html";"Pure EDTA Calcium Disodium Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Calcium & Minerals";"http://www.bulksupplements.com/media/catalog/product/a/m/amazonbag_67.png";"<p style=\"text-align: justify;\">EDTA is short for Ethylenediaminetetraacetic Acid. This version is produced as a calcium disodium salt and comes in raw, powdered form.</p>";"EDTACD";"Y";"5442";"1";"0"
"14.02";"http://www.bulksupplements.com/dl-phenylalanine.html";"Pure DL-Phenylalanine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Mental Wellness, BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_500.jpg";"<p style=\"text-align: justify;\">Phenylalanine is an amino acid ranked among the essential amino acids needed to sustain life.</p>";"DL-PHEN";"Y";"6521";"1";"0"
"11.85";"http://www.bulksupplements.com/dl-methionine.html";"Pure DL-Methionine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Digestive Support, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_29.jpg";"<p style=\"text-align: justify;\">DL-Methionine is the combined product of L-Methionine and D-Methionine. This is considered an essential amino acid and is necessary in the synthesis of S-Adenosylmethionine. It can be found in large amounts in fish, beans, eggs, Brazil nuts, lentils, garlic, yogurt, onions, various meats and other plants and seeds.</p>";"DL-MTH";"Y";"5860";"1";"0"
"11.85";"http://www.bulksupplements.com/d-aspartic-acid.html";" Pure D-Aspartic Acid Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_236.jpg";"<p style=\"text-align: justify;\">D-Aspartic Acid is a nonessential amino acid that is slightly less bioavailable than L-Aspartic acid; however, it is much more pronounced in its effects. </p>";"D-AA";"Y";"7936";"1";"0"
"10.77";"http://www.bulksupplements.com/creatine-monohydrate.html";"Pure Creatine Monohydrate (Micronized) Powder in Bulk | BulkSupplements.com";"BulkSupplements > Featured, BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Goal > Mental Wellness, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_12.jpg";"<p style=\"text-align: justify;\">Creatine Monohydrate powder is taken from the compound Creatine, which is essential in the process of sending energy directly to muscle. It is naturally produced by the body.</p>";"CM";"Y";"17637";"1";"0"
"16.18";"http://www.bulksupplements.com/creatine-ethyl-ester-hcl-cee.html";"Pure Creatine Ethyl Ester (CEE) HCL Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal, BulkSupplements > Products by Category, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_2_83.jpg";"<p style=\"text-align: justify;\">Creatine Monohydrate powder is taken from the compound Creatine and is naturally produced by the body. Creatine Ethyl Ester (CEE) is Creatine Monohydrate with an ester attached, which is an organic compound found in fatty tissues. </p>";"CEE";"Y";"5467";"1";"0"
"11.85";"http://www.bulksupplements.com/branch-chain-amino-acids-bcaa.html";"BCAA Powder (Branch Chain Amino Acids) | BulkSupplements.com";"BulkSupplements > Featured, BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Joint & Bone Support, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_18.jpg";"<p style=\"text-align: justify;\">Branch Chain Amino Acids, most commonly shortened to BCAA, are made up of the amino acids L-Valine, L-Leucine and L-Isoleucine, respectively. While BCAAs are found in their greatest natural quantities in products such as red meat and many types of dairy, protein supplements synthesized from an egg base or whey are ideal for finding concentrated amounts.  </p>";"BCAA";"Y";"11730";"1";"0"
"11.85";"http://www.bulksupplements.com/beta-alanine.html";"Pure Beta Alanine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Featured, BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_83.jpg";"<p style=\"text-align: justify;\">Beta Alanine is a supplement that lends itself well to synthesizing L-Carnosine, a type of amino acid. This supplement is particularly useful to those involved in large amounts of physical activity, such as athletes or bodybuilders.</p>";"BA";"Y";"15967";"1";"0"
"31.32";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar-500g-pure-powder.html";"Acetyl L-Carnitine (ALCAR) | Powder or Capsules | PureDepot.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_164.jpg";"<p style=\"text-align: justify;\">Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced by the human body in the kidneys and liver and is derived from the two essential amino acids, Methionine and Lysine. The body uses Acetyl-L-Carnitine to assist in oxidizing fatty acids. In simpler terms, this means that this ALCAR is used to help convert the fatty acids found in food into an exhaustible energy source, that in turn fuels the body. This works because ALCAR is the main vehicle that assists in the transference of these fatty acids to the mitochondrial membrane of each local cell where this oxidization routinely happens. ALCAR can be found in larger deposits near the areas of the body that most actively break down fatty acids on a regular basis, including those muscles that control the skeleton and the heart.</p>";"ALCAR-500";"Y";"58";"1";"0"
"50.79";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar-1kg-pure-powder.html";"Acetyl L-Carnitine (ALCAR) | Powder or Capsules | PureDepot.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_163.jpg";"<p style=\"text-align: justify;\">Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced by the human body in the kidneys and liver and is derived from the two essential amino acids, Methionine and Lysine. The body uses Acetyl-L-Carnitine to assist in oxidizing fatty acids. In simpler terms, this means that this ALCAR is used to help convert the fatty acids found in food into an exhaustible energy source, that in turn fuels the body. This works because ALCAR is the main vehicle that assists in the transference of these fatty acids to the mitochondrial membrane of each local cell where this oxidization routinely happens. ALCAR can be found in larger deposits near the areas of the body that most actively break down fatty acids on a regular basis, including those muscles that control the skeleton and the heart.</p>";"ALCAR-1KG";"Y";"139";"1";"0"
"606.68";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar-25kg-pure-powder.html";"Acetyl L-Carnitine (ALCAR) | Powder or Capsules | PureDepot.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_163.jpg";"<p style=\"text-align: justify;\">Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced by the human body in the kidneys and liver and is derived from the two essential amino acids, Methionine and Lysine. The body uses Acetyl-L-Carnitine to assist in oxidizing fatty acids. In simpler terms, this means that this ALCAR is used to help convert the fatty acids found in food into an exhaustible energy source, that in turn fuels the body. This works because ALCAR is the main vehicle that assists in the transference of these fatty acids to the mitochondrial membrane of each local cell where this oxidization routinely happens. ALCAR can be found in larger deposits near the areas of the body that most actively break down fatty acids on a regular basis, including those muscles that control the skeleton and the heart.</p>";"ALCAR-25KG";"Y";"10";"1";"0"
"15.10";"http://www.bulksupplements.com/l-arginine-l-pyroglutamate.html";"Pure L-Arginine L-Pyroglutamate Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_197.jpg";"<p style=\"text-align: justify;\">L-Arginine L-Pyroglutamate is a combination of Arginine and a molecule of Pyroglutamate. By putting the two amino acids together, this results in an increase of nitric oxide.</p>";"L-ARGPYR";"Y";"5501";"1";"0"
"11.85";"http://www.bulksupplements.com/l-aspartic-acid.html";"Pure L-Aspartic Acid Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Digestive Support, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_184.jpg";"<p style=\"text-align: justify;\">Aspartic Acid is generally found in sugar cane. It is a nonessential amino acid (meaning that the body typically manufactures a sufficient enough amount on its own). </p>";"L-AA";"Y";"50052";"1";"0"
"15.10";"http://www.bulksupplements.com/l-carnitine-base.html";"Pure L-Carnitine Base Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Heart Health, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_255.jpg";"<p style=\"text-align: justify;\">L-Carnitine is the chief amino acid that helps the body convert fats into energy.</p><p style=\"text-align: justify;\">Taking D-Carnitine can cause interference with the supplementation of L-Carnitine, which can then cause further problems.</p>";"L-CB";"Y";"6018";"1";"0"
"24.83";"http://www.bulksupplements.com/l-carnosine.html";"Pure L-Carnosine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_283.jpg";"<p style=\"text-align: justify;\">Carnosine is an amino acid with antioxidant properties.</p><p style=\"text-align: justify;\"><em>*It is very important not to confuse Carnosine with Carnitine. The latter is an amino acid and does not have nearly the same effects as Carnosine.</em></p>";"L-CARN";"Y";"557";"1";"0"
"12.93";"http://www.bulksupplements.com/l-citrulline.html";"Pure L-Citrulline Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_155.jpg";"<p style=\"text-align: justify;\">Citrulline has been used to promote overall athletic performance. This supplement is particularly useful for those involved in endurance exercises or any sort of intense physical activity.</p>";"L-CITR";"Y";"8831";"1";"0"
"12.93";"http://www.bulksupplements.com/l-citrulline-dl-malate.html";"Pure L-Citrulline DL-Malate 1:1 Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_147.jpg";"<p style=\"text-align: justify;\">L-Citrulline DL-Malate is a combination of Citrulline, an amino acid, and Malate, the salt of malic acid. It is popularly used as a dietary supplement to boost athletic performance. </p>";"L-C-DL-M-11";"Y";"5920";"1";"0"
"12.93";"http://www.bulksupplements.com/l-cysteine-hcl.html";"Pure L-Cysteine HCL Monohydrate Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_59.jpg";"<p style=\"text-align: justify;\">L-Cysteine HCL is an amino acid with added HCL. Cysteine is known for maintaining good health of hair, nails and skin and overall wellness.</p>";"L-CYS-HCL";"Y";"5283";"1";"0"
"11.85";"http://www.bulksupplements.com/l-glutamine.html";"Pure L-Glutamine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_282.jpg";"<p style=\"text-align: justify;\">Glutamine is one of the most abundant of all 20 amino acids, making up over 60% of all skeletal muscle tissue in the body.</p>";"L-GLU";"Y";"16133";"1";"0"
"22.67";"http://www.bulksupplements.com/l-histidine-base.html";"Pure L-Histidine Base Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_237.jpg";"<p style=\"text-align: justify;\">Histidine is an essential amino acid. L-Histidine, specifically, cannot be formed by other nutrients and must be present within one’s diet. </p>";"L-HISB";"Y";"554";"1";"0"
"18.34";"http://www.bulksupplements.com/l-histidine-hcl.html";"Pure L-Histidine HCL Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_49.jpg";"<p style=\"text-align: justify;\">Histidine is an essential amino acid. L-Histidine, specifically, cannot be formed by other nutrients and must be present within one’s diet. This formula utilizes HCL to balance out the pH. </p>";"L-HIS- HCL";"Y";"5378";"1";"0"
"14.02";"http://www.bulksupplements.com/l-isoleucine.html";"Pure L-Isoleucine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_122.jpg";"<p style=\"text-align: justify;\">L-Isoleucine is an essential amino acid that is routinely used by bodybuilders for energy and endurance.</p>";"L-ISO";"Y";"75";"1";"0"
"11.85";"http://www.bulksupplements.com/l-leucine.html";"Pure L-Leucine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Men's Health, BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_359.jpg";"<p style=\"text-align: justify;\">L-Leucine is a type of amino acid that is derived from reactions taking place between pancreatic enzymes and protein.</p>";"L-LEU";"Y";"6791";"1";"0"
"10.77";"http://www.bulksupplements.com/l-lysine-hcl.html";"Pure L-Lysine HCL Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_237.jpg";"<p style=\"text-align: justify;\">L-Lysine HCL is an essential amino acid. The HCL is added to the base L-Lysine to assist with digestion and to make it more soluble.</p>";"L-LYS-HCL";"Y";"9337";"1";"0"
"15.10";"http://www.bulksupplements.com/l-methionine.html";"Pure L-Methionine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Muscle Growth, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Digestive Support, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_23.jpg";"<p style=\"text-align: justify;\">Methionine is an essential amino acid needed to help produce S-Adenosyl methionine (SAMe) through combination with Adenosine Triphosphate. </p>";"L-MTH";"Y";"5357";"1";"0"
"16.18";"http://www.bulksupplements.com/l-norvaline.html";"Pure L-Norvaline Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_136.jpg";"<p style=\"text-align: justify;\">Norvaline is an analog of the BCAA Valine. It is soluble in water and formed through Leucine synthesis.</p>";"L-NOR";"Y";"459";"1";"0"
"16.18";"http://www.bulksupplements.com/l-ornithine-a-ketoglutarate-okg.html";"Pure L-Ornithine a-ketoglutarate OKG Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_63.jpg";"<p style=\"text-align: justify;\">L-Ornithine Alpha-Ketoglutarate (OKG) combines Alpha-Ketoglutaric Acid with Ornithine.</p>";"L-OAKG";"Y";"5646";"1";"0"
"15.10";"http://www.bulksupplements.com/l-ornithine-hcl.html";"Pure L-Ornithine HCL Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_430.jpg";"<p style=\"text-align: justify;\">Ornithine is a nonessential amino acid that is created when Arginine is broken down during the Krebs Cycle. </p>";"L-ORN-HCL";"Y";"5946";"1";"0"
"12.93";"http://www.bulksupplements.com/l-phenylalanine.html";"Pure L-Phenylalanine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Mental Wellness";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_56.jpg";"<p style=\"text-align: justify;\">Phenylalanine is an essential amino acid believed to promote a healthy nervous system.</p>";"L-PHEN";"Y";"5729";"1";"0"
"14.02";"http://www.bulksupplements.com/l-proline.html";"Pure L-Proline Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Joint & Bone Support";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_4_70.jpg";"<p style=\"text-align: justify;\">Proline is a nonessential amino acid and is part of what makes up collagen. Collagen makes up just about 90% of the body’s overall connective tissue and promotes healthy skin and joints.</p>";"L-PRO";"Y";"6136";"1";"0"
"14.02";"http://www.bulksupplements.com/l-serine.html";"Pure L-Serine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_473.jpg";"<p style=\"text-align: justify;\">Serine is a nonessential amino acid that promotes overall physical and mental well-being.</p>";"L-SER";"Y";"5833";"1";"0"
"16.18";"http://www.bulksupplements.com/l-theanine.html";"Pure L-Theanine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Mental Wellness, BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_260.jpg";"<p style=\"text-align: justify;\">L-Theanine is an amino acid that is naturally found in green tea, which is a rich source of polyphenols that have antioxidant properties and promote overall health.</p>";"L-THE";"Y";"9916";"1";"0"
"11.85";"http://www.bulksupplements.com/l-threonine.html";"Pure L-Threonine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_103.jpg";"<p style=\"text-align: justify;\">L-Threonine is an essential amino acid that is a formative component in collagen, enamel of the teeth and elastin.</p>";"L-THR";"Y";"5240";"1";"0"
"15.10";"http://www.bulksupplements.com/l-tryptophan.html";"Pure L-Tryptophan Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_306.jpg";"<p style=\"text-align: justify;\">L-Tryptophan is an essential amino acid, meaning that it must be derived from diet or through supplementation. It is needed in order to produce serotonin.</p>";"L-TRY";"Y";"1243";"1";"0"
"12.93";"http://www.bulksupplements.com/l-tyrosine.html";"Pure L-Tyrosine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Men's Health, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Mental Wellness";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_105.jpg";"<p style=\"text-align: justify;\">Tyrosine is one of the nonessential amino acids and is a precursor to the neurotransmitters dopamine and norepinephrine.</p>";"L-TYR";"Y";"5921";"1";"0"
"12.93";"http://www.bulksupplements.com/l-valine.html";"Pure L-Valine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_129.jpg";"<p style=\"text-align: justify;\">L-Valine is one of three Branch Chain Amino Acids (BCAAs), the other two being Isoleucine and Leucine. </p>";"L-VAL";"Y";"397";"1";"0"
"35.65";"http://www.bulksupplements.com/n-acetyl-l-carnosine.html";"Pure N-Acetyl L-Carnosine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal, BulkSupplements > Products by Category, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Skin Care & Beauty, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/a/m/amazonbag_3_69.png";"<p style=\"text-align: justify;\">N-Acetyl L-Carnosine is a form of acetylated carnosine, which allows the overall molecular composition more stability. It is an amino acid that possesses the properties of a strong antioxidant and benefits muscle tissue. Because of this, it is a popular supplement among athletes.</p>";"NALCAR";"Y";"162";"1";"0"
"11.85";"http://www.bulksupplements.com/n-acetyl-l-cysteine.html";"Pure N-Acetyl L-Cysteine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_151.jpg";"<p style=\"text-align: justify;\">N-Acetyl L-Cysteine (NAC) is a type of amino acid that is sulfur based and is needed in order for the synthesis of Glutathione to take place. Since Glutathione is a powerful antioxidant, this makes the presence of N-Acetyl L-Cysteine all the more important. </p>";"N-ACE-L-CYS";"Y";"6415";"1";"0"
"12.93";"http://www.bulksupplements.com/n-acetyl-l-tyrosine-nalt.html";"Pure N-Acetyl L-Tyrosine (NALT) Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Mental Wellness, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_272.jpg";"<p style=\"text-align: justify;\">N-Acetyl L-Tyrosine (NALT) is derived from L-Tyrosine, one of the non-essential amino acids. It is sometimes regarded as a greater supplement than standard L-Tyrosine because it can be more readily absorbed by the body.</p>";"NALT";"Y";"6519";"1";"0"
