"Create New Product Return","Créer un nouveau RMA"
"Order Status","Statut de la commande"
"Ship to","Adresse de livraison"
"Order #","Commande nº "
"Select Order for new Product Return","Sélectionnez une commande pour créer un nouveau retour produit"
"Select Order for Product Return","Sélectionnez une commande pour un retour produit"
"No Items Found","Aucun enregistrement trouvé"
"Customer","Client"
"Purchased On","Date d'achat"
"Bill to Name","Nom (Fact.)"
"Product Return Deleted","Retour produit supprimé"
"Data saved","Données sauvegardées"
"customer successfully notified.","Client notifié"
"Product Return successfully sent.","Retour produit envoyé"
"Please select quantities to return.","Veuillez s&eacute;lectionner les quantit&eacute;s &agrave; retourner."
"Are you sure ?","Etes vous sûr ?"
"Edit Product Return","Edition Retour Produit"
"Products Reception Date","Date de réception produit"
"Products Return Date","Date du retour produit"
"Qty Shipped","Qte livrée"
"Qty to return","Qte retournée"
"Customer Description","Description client"
"Private comments","Commentaires privés"
"Public Comments","Commentaires publiques"
"Technical Cost","Frais technique"
"Technical Cost Caption","Libelle Frais technique"
"Shipping Cost","Frais de Livraison"
"Select","Choisir"
"You have already perform an action, see order # ","Vous avez déj&agrave; effectué une action, voir commande N "
"You have already perform an action, see credit memo # ","Vous avez déj&agrave; effectué une action, voir avoir N "
"expired","Expiré"
"new","Nouveau"
"product_return_accepted","Retour produit accepté"
"product_return_refused","Retour produit refusé"
"product_received","Produits reçus"
"product_received_but_refused","Produits reçus mais refusés"
"expertise_product","Produits en expertise"
"rma_accepted","Rma Accepté"
"rma_refused","Rma Refuse"
"Print Product Return Form","Imprimer le formulaire de retour"
"complete","Terminé"
"Template RMA Complete","Template RMA Terminé"
"Order refunded","Remboursement"
"Product returned","Produit renvoyé"
"Product exchange","Echange produit"
"Credit Memo #%s","Avoir #%s"
"Order #%s","Commande #%s"
"Unable to notify customer","Impossible d'avertir le client"
"refund","Remboursement"
"product_return","Renvoi produit"
"exchange","Echange"
"Refund shipping fees","Rembourser les frais de port"
"Back products to stock","Restocker les produits"
"( Guest )","( Invité )"
"Product Return Edit","Edition de rma"
"Save","Enregistrer"
"Print","Imprimer"
"Delete","Supprimer"
"Notify Customer","Notification client"
"Main","Information"
"History","Historique"
"Action","Action"
"Default shipment","Méthode de livraison par defaut"
"Default Fake product Name","Nom du faux produit par defaut"
"Max days for request","Maximum de jours pour une demande de rma"
"Copy To","Copie &agrave;"
"PDF Header Text","Texte En-tete PDF"
"PDF Footer Text","Texte pied de page PDF"
"PDF Comment","Commentaires PDF"
"Products received","Produits reçus"
"Available Qty","Qte dispo"
"Serials","Numéros de série"
"Process products","Traiter les produits"
"No action","Aucune action"
"Return product","Renvoyer les produits"
"Refund","Rembourser"
"Exchange","Echanger"
"Product destination","Destination du produit"
"Credit memo settings","Paramètres pour le remboursement"
"Order settings","Paramètres pour la commande"
"Payment Method","M&eacute;thode de paiement"
"Shipping Method","M&eacute;thode de livraison"
"Customer notified for status %s","Client notifi&eacute; pour le statut %s"
"Rma status change to ","Status chang&eacute; pour "
"Please select at least on product","Veuillez selectionner un produit"
"Please select destination for products to process","Veuillez selectionner les destinations des produits"
"Please confirm products processing","Confirmez vous la création des commandes et/ou remboursement ?"
"Customer Returns","Retours client"
"Pending products","Produits à traiter"
"View","Voir"
"Customer Return","Retour client"
"Received on","Reçu le"
"Destination","Destination"
"Set as processed","Marquer comme traité"
"Print and set as processed","Imprimer et Marquer comme traité"
"Products to process","Produits a traiter"
"Credit memo #%s created","Remboursement #%s créé"
"Order #%s created","Commande #%s créée"
"Product reception processed","Réception des produits prises en compte"
"Order : %s","Commande : %s"
"Date : %s","Date : %s"
"Valid until %s","Numero valide jusqu'au %s"
"Comments :","Commentaires :"
"New status for product received","Nouveau statut lors du clic sur produits reçus"
"Display disabled shipping methods","Afficher les méthodes de livraison desactivées"
"Display disabled payment methods","Afficher les méthodes de paiement desactivées"
"Created for Product return #%s","Créé pour le RMA no %s"
"Serials : %s","No de serie : %s"
"Add RMA tab in order preparation screen","Ajouter l'onglet RMA dans la pr&eacute;paration de commande"
"Products reservation","R&eacute;servation de produits"
"Reserved products","Produits r&eacute;serv&eacute;s"
"Add product to reservation","R&eacute;server des produits"
"An error occured : %s","Une erreur est survenue : %s"
"Release","Lib&eacute;rer"
"Product %s reserved","Produit %s r&eacute;serv&eacute;"
"Product %s released","Produit %s lib&eacute;r&eacute;"
"Product already reserved for RMA","Produit d&eacute;ja r&eacute;serv&eacute;"
"Default shipment method","M&eacute;thode d'exp&eacute;dition par d&eacute;faut"
"Default payment method","M&eacute;thode de paiement par d&eacute;faut"
"Template Waiting for Supplier","Template en attente fournisseur"
"New status for request","Statut pour les demandes de RMA"
"(incl tax)","(TTC)"
"(excl tax)","(HT)"
"Print return form","Imprimer le bon de retour"
"Reserved Qty","Qte r&eacute;serv&eacute;e"
"Name","Nom"
"Manufacturer","Fabricant"
"Add a product to Products Pending Supplier Return","Ajouter un produit aux produits en attente de retour fournisseur"
"Supplier Return Edit","Edition de retour fournisseur"
"Edit informations for a product pending a supplier return","Edition d'un produit en attente de retour fournisseur"
"Product ID","ID Produit"
"Product SKU","SKU"
"Product Name","Nom"
"Product Serial","Numéro de série"
"Supplier","Fournisseur"
"Unknown Supplier","Fournisseur inconnu"
"Unknown supplier","Fournisseur inconnu"
"Warning! if you set the serial number, the supplier will be automatically replaced if he is false.","Attention, si vous renseignez le numéro de série, le fournisseur sera automatiquement remplac&eacute; s'il est faux."
"Status","Statut"
"Reference","Référence"
"Supplier Reference","R&eacute;f&eacute;rence fournisseur"
"Supplier reference","R&eacute;f&eacute;rence fournisseur"
"Created at","Cr&eacute;&eacute; le"
"Updated at","Mis à jour le"
"Supplier Name","Fournisseur"
"Product Supplier SKU","SKU Fournisseur"
"Supplier Informations","Information fournisseur"
"Creation date","Date de cr&eacute;ation"
"Edit","Editer"
"Create Supplier Return","Créer un retour fournisseur"
"Destroy Product","Détruire le produit"
"Assign a supplier","Assigner &agrave; un fournisseur"
"Products Pending Supplier Return","Produits en attente de retour fournisseur"
"Supplier ID","ID Fournisseur",
"Total Number Of Products","Nombre total de produits"
"Total Purchase Price","Prix total d'achat"
"Unable to find purchase price for some products","Impossible de trouver le prix pour certains produits"
"Add product","Ajouter un produit"
"Product destroyed after a supplier return","Produit d&eacute;truit apr&egrave;s un retour fournisseur"
"Product back after a supplier return","Produit de retour après un retour fournisseur"
"Purchase price","Prix d'achat"
"No Item Found","Aucune entrée trouvée"
"Purchase Order","Commande fournisseur"
"Change products status to Refunded","Changer le statut en Remboursé"
"Change products status to Standard Exchange","Changer le statut en Echange Standard"
"Change products status to Credit Memo","Changer le statut en Avoir"
"Change products status to Destroy","Changer le statut en Détruit"
"Remove products from this supplier return","Supprimer les produits de ce retour fournisseur"
"There is at least one selected product with an unknown supplier.","Il y a au moins un produit séeacute;lectionn&eacute; dont le fournisseur est inconnu."
"There is at least one selected product with an unknown serial.","Il y a au moins un produit séeacute;lectionn&eacute; dont le num&eacute;ro de s&eacute;rie n'est pas renseign&eacute."
"There is more than one supplier for the selected products.","Il y a plus d'un fournisseur pour les produits sélectionn&eacute;s"
"Products Status have been successfully changed","Les statuts des produits ont été changée avec succès"
"The supplier has been successfully assign to the products","Le fournisseur a correctement été assigné aux produits"
"Supplier Returns","Retours fournisseur"
"Sent to supplier","Envoyé au fournisseur"
"Create new supplier return","Cr&eacute;ation d'un nouveau retour fournisseur"
"Updating reference","Mise &agrave; jour de la r&eacute;f&eacute;rence"
"Updating supplier reference","Mise &agrave; jour de la r&eacute;f&eacute;rence fournisseur"
"Updating comments","Mise &agrave; jour du commentaire"
"Fill comments and click button to send return request to supplier by email.","Entrez un commentaire et cliquez sur le bouton pour envoyer la demande de retour au fournisseur par email."
"Supplier email address:","Adresse mail du fournisseur:"
"Warning: Supplier email is not set !","Attention: l'adresse mail du fournisseur n'est pas définie"
"Set supplier return status to inquiry after sending mail","Changer le statut du retour fournisseur en <b>Demande en cours</b> après avoir envoyé le mail"
"Manufacturer attribute name","Nom de l'attribut Fabricant"
"Template Supplier Return","Template Retour fournisseur"
"Warehouse for destroyed products", "Dépot pour les produits détruits"
"Warehouse for product back from supplier","Dépot pour les produits revenant de chez le fournisseur"
"Supplier Return","Retours Fournisseur"
"Purchase Price","Prix d'achat"
"Inquiry","Demande en cours"
"Inquiry at","Retour demand&eacute; le"
"Sent to supplier at","Envoy&eacute; au fournisseur le"
"Customer Returns","Retours Client"
"Supplier Returns","Retours Fournisseur"
"Pending Products","Produits en attente"
"Warning! The supplier and the purchase order may change on serial changes.","Attention! le fournisseur et le numéro de commande peuvent changer automatiquement lors d'un changment de serial)"
"There is no purchase order for this product and this supplier.","Il n'y a pas de commande pour ce produit et ce fournisseur."
"You must select a supplier before to select a purchase order","Vous devez sélectionner un fournisseur avant de sélectionner une commande"
"Check Result: ","Résultat de la v&eacute;rification: "
"Supplier: ","Fournisseur: "
"Purchase Order: ","Commande fournisseur: "
"   Check Serial   ","   Vérification du numéro de série   "
"Unable to found Supplier","Impossible de trouver le fournisseur"
"Unable to found Purchase Order","Impossible de trouver la commande fournisseur"
"Add predefined text :","Ajouter un texte pr&eacute;d&eacute;fini"
"Predefined msg","Messages pr&eacute;d&eacute;finis"
"New Product Return","Nouveau retour produit"
" will be charged"," seront factur&eacute;s"
" will be refunded"," seront rembours&eacute;s"
"Adjust price (incl tax)","Ajuster le prix (TTC)"
"Request type","Type de demande"
"Return label","Etiquette de retour"
"Upload return label","Sauvegarder l'&eacute;tiquette de retour"
"Download shipping label","Télécharger l'&eacute;tiquette"
"A return is already in progress on this product","Un retour est déjà en cours sur ce produit"
"Is locked","Verrouill&eacute; ?"
"Save and lock","Enregistrer et verrouiller"
"Customer changed for order","Client basculé sur la commande"
"Create your account","Création de votre compte"
"Use this form if you want to create an account for an order placed as guest.","Utilisez ce formulaire si vous souhaitez créer votre compte client sur une commande faite en tant qu'invité."
"To attach existing order to your new account, please fill the order number in the field.","Pour relier la commande vers votre compte client, veuillez remplir les informations du formulaire de création de compte."
"Personal Information","Informations Personnel"
"Email Address","Adresse Email"
"Sign Up for Newsletter","S'inscrire à la Newsletter"
"Login Information","Information d'identification"
"Password","Mot de passe"
"Confirm Password","Confirmez le mot de passe"
"Order information","Informations sur la commande"
"Order number","Numéro de la commande"
"* Required Fields","* Champ requis"
"Back","Retour"
"Submit","Valider"
"Thanks for registering !","Nous vous remercions pour votre création de compte !"
"Select","Selectionnez"
"Manager","Gestionnaire"
"Reception Date","Date r&eacute;ception"
"Refund offline only","Remboursement d&eacute;connect&eacute; uniquement"
"Amount to substract to refund","Montant &agrave; soustraire du remboursement"
"Amount to add to refund","Montant &agrave; ajouter au remboursement"
"Adjustment refund (incl tax)","Ajustement de remboursement (TTC)"
"Adjustment fee (incl tax)","Frais d'ajustement (TTC)"
"Applies when you refund customer or for product exchange","Applicable pour remboursement ou &eacute;change"
"Applies when for exchange or return to customer","Appliquable pour &eacute;change ou retour"
"Back to customer","Retourner au client"
"Shipping fees to charge to customer","Frais d'exp&eacute;dition factur&eacute;s au client"
"Amount for additional costs to charge to customer","Frais additionnels factur&eacute;s au client"
"Caption for additional costs to charge to customer","Libell&eacute; des frais additionnels"
"Back to stock","Remettre en stock"
"Back to supplier","Retourner au fournisseur"
"Destroy","Mise au rebut"
"You are going to lock the RMA, do you confirm ?","Vous allez verrouiller le RMA : seul les utilisateurs autoris&eacute;s pourront le d&eacute;verrouiller. Confirmez vous ?"
"Save and Unlock","Enregistrer et d&eacute;verrouiller"
"You are going to unlock the RMA, do you confirm ?","Vous allez d&eacute;verrouiller le RMA, confirmez vous ?"
"RMA Locked","RMA verrouill&eacute;"
"No products available","Aucun produit retournable"
"Your order is not shipped","Commande non exp&eacute;di&eacute;e"
"Delay to return the product is expired since %s","D&eacute;lai de demande de retour expir&eacute; depuis le %s"
"A return is already in progress on this product or product has not been invoiced.","Un retour est d&eacute;ja en traitement sur ce produit ou il n'a pas &eacute;t&eacute; factur&eacute;"
"Reason of the return","Raison du retour"
"Your wishes","Vous souhaitez"
"If you want to return products, please fill the form below.","Veuillez remplir le formulaire ci-dessous pour faire une demande de retour."
"Once you'll have submitted your request, our customer service will consider your request in the best delay.","Une fois votre requête soumise, nos services l'examineront dans les plus brefs d&eacute;lais"
"If enable, customer can request for a new return from the customer account","Si actif, vos clients peuvent faire une demande retour &agrave; partir de leur compte client"
"Returns are valid until creation date + X days","Les retours sont valides pendant X jours après leur date de cr&eacute;ation"
"Email sent when a customer request a new return","Contact &agrave; notifier lorsqu'un client fait une nouvelle demande de retour"
"Copy all emails to this recipient","Envoyer tous les emails en copie &agrave; ce contact"
"Identity to use to send emails","Identit&eacute; utilis&eacute;e pour les envois de mail"
"Email sent when you refuse a return request","Email envoy&eacute; quand un retour est refus&eacute;"
"Email sent when you accept a return request","Email envoy&eacute; quand un retour est accept&eacute;"
"Email sent when you receive the products","Email envoy&eacute; lorsque vous recevez les produits"
"Email sent when you refuse to process returned products","Email envoy&eacute; lorsque vous refusez les produits retourn&eacute;s"
"Email sent when you set return status to waiting for supplier","Email envoy&eacute; lorsque vous êtes en attente de retour fournisseur"
"Email sent when you set return status to expertise","Email envoy&eacute; lorsque vous expertisez les produits"
"Email sent when return is complete","Email envoy&eacute; lorsque vous avez termin&eacute; de traiter un retour"
"ID of the fake product you must create installing extension","Id du faux produit"
"Default name for the product","Nom par d&eacute;faut du faux produit"
"Set you own reasons for returns (separated with a ;)","Raisons possibles pour un retour (s&eacute;par&eacute; avec un ;)"
"Action requested by the customer (separated with a ;)","Souhaits du client pour un retour (s&eacute;par&eacute; avec un ;)"
"Number of day a customer can request a return from order date","Nombre de jour pendant lequel un client peut faire une demande de retour"
"Default shipping method assigned to orders created from RMA module","M&eacute;thode d'exp&eacute;dition par d&eacute;faut appliqu&eacute;e aux nouvelles commandes"
"Default payment method assigned to orders created from RMA module","M&eacute;thode de paiement par d&eacute;faut appliqu&eacute;e aux nouvelles commandes"
"waiting_for_supplier","Attente fournisseur"
"Status assigned to return when a customer request a new one","Statut pour les nouvelles demandes"
"Status assigned to return when you confirm product reception",Statut lorsque vous confirmez la r&eacute;ception des produits"
"Create invoice for orders generated from Product Return extension","Cr&eacute;er la facture pour les commandes g&eacute;n&eacute;r&eacute;es"
"Auto generate invoice","Facturer les commandes"
"Auto generate invoice only for 0 total","Facturer les commandes sans montant uniquement"
"Create invoice for orders generated from Product Return extension only if order total is zero","Cr&eacute;e la facture seulement si le montant de la commande est &agrave; 0"
"Prevent to edit rma from other manager","Empêcher l'&eacute;dition de RMA par un autre gestionnaire"
"If enabled, users can not edit returns from other manager (magento users)","Si actif, seul le gestionnaire peut modifier le RMA"
"Your warehouse address displayed on the PDF","Adresse de votre d&eacute;pot (affich&eacute;e sur le PDF)"
"Header text displayed in the PDF","Texte d'ent&ecirc;te"
"Footer text displayed in PDF","Texte de pied de page"
"Additional comments displayed in the PDF","Commentaires additionels affich&eacute;s en bas du PDF"
"Notify customer on all status changes","Notifier le client sur changement de statut"
"Automatically send an email to client when rma's status changes","Envoi automatiquement un mail au client quand le statut du RMA change"
"Request a return","Demander un retour"
"To request a return, you must first create an account, then you'll be able to send you return request.","Pour demander un retour, veuillez renseigner les informations ci-dessous afin de cr&eacute;er un compte."
"Is locked","Verrouillé"
"Save and lock","Sauvegarder et verrouiller"
"Your order was never shipped","Votre commande n'a pas été envoyée"
"Ability to return products from this order expired on %s","Vous avez jusqu'au %s pour retourner les produits"
"Use this form if you want to create an account for an order that you previously placed as a guest.","Utilisez ce formulaire si vous voulez créer un compte pour une commande passée en tant qu'invité."
"To attach an existing order to this new account, please enter the order number in the appropriate field.","Pour joindre une commande existante sur ce nouveau compte, veuillez entreer le numéro de commande dans le champs approprié."
"If you have an existing account, please log in.","Si vous possédez un compte, veuillez vous connecté"
"Reference Number","Reference de la commande"
"You have no active product returns.","Vous n'avez pas de retour produit actif."
"Initiate a product return below.","Déclencher un retour produit ci dessous."
"Once your return request has been submitted, it will be reviewed by our Customer Service team, and you'll be contacted within 24 to 48 hours.","Une fois votre demande de retour produit soumise, celle-ci sera analysée par notre service, vous serai contacté dans les 24 / 48h."
"Contact Details","Details du Contact"
"Return Address","Adresse du retour produit"
"A return is already in progress for this product, or this product has not been invoiced.","Un retour produit est déja en progression pour ce produit, ou ce produit n'à pas été facturé."
"Reason for the return","Raison du retour produit"
"Requested Action","Action souhaitée"
"NOTE: Defective items can only be exchanged for the same item. They can NOT be returned for a refund.","NOTE: Les produits défectueux peuvent seulement faire l'objet d'un remboursement. Ils ne peuvent en aucun cas aboutir à la demande d'un échange."
"Submit","Soumettre"
"Select an order to initiate a product return.","Sélectionnez une commande pour initier une retour produit"
"There are no existing orders in your account to initiate a product return.","Il n'y à pas de commandes pouvant donner lieu à un retour produit."
"Contact Information","Information du Contact"
"Create an account","Créer un compte"
"You must create an account in order to request a product return.","Vous devez créer un compte client pour pouvoir faire une demande de retour produit"
"Sign Up for our Newsletter","Abonnez vous à notre Newsletter"
"Email Sender","Email de l'expéditeur"
"Delete shipping label","Supprimer l'étiquette"
"Label deleted","Etiquette supprimée"
"Notify customer about the shipping label","Prévenir le client de la disponibilité de l'étiquette"
"Customer notified for shipping label","Client notifié pour l'étiquette"
"Customer successfully notified.","Client notifié"
"Shipping label","Etiquette d'expédition"
"Upload shipping label","Choisir un fichier"
"Shipping Cost (incl tax)","Frais de port (TTC)"
"Technical Cost (incl tax)","Frais techniques (TTC)"
"Messages","Messages"
"Post a new message","Envoyer un nouveau message"
"admin","administrateur"
"customer","client"
"by","par"
"Identity","Email de l'expéditeur"
"Template to notify admin","Template utlisé pour la notification de l'administrateur"
"Template to notify customer","Template utilisé pour la notification du client"
