"Shipping Sofware","Logiciel transporteur"
"File","Fichier"
"Create Carrier Template","Nouveau mod&egrave;le transporteur"
"Import Carrier Template","Importer un mod&egrave;le"
"Config","Configuration"
"Are you sure that you want to remove this item?","Etes vous sur de vouloir supprimer cet element ?"
"Display / Hide Comments","Afficher / masquer les commentaires"
"One Page Preparation","Pr&eacute;paration de commandes"
"Commit","Valider"
"Next order","Commande suivante"
"Orders : ","Commandes : "
"Actions : ","Actions : "
"Order #","Commande no "
"Billing address : ","Addresse de facturation"
"Shipping address : ","Adresse de livraison"
"Other : ","Autre : "
"Created at %s","Cr&eacute;&eacute; le %s"
"Status : %s","Statut : %s"
"Total : %s","Total : %s"
"Payment method : %s","M&eacute;thode de paiement : %s"
"Payment validated : %s","Paiement valid&eacute; : %s"
"Store : %s","Magasin : %s"
"Preparation information,"Informations de pr&eacute;paration"
"Shipping method","M&eacute;thode de livraison"
"Total weight","Poids total"
"Shipment","Exp&eacute;dition"
"Invoice","Facture"
"Comments","Commentaires"
"Products","Produits"
"Product name","Produit"
"Reserved qty","Qte r&eacute;serv&eacute;e"
"Qty to ship","Qte a exp&eacute;dier"
"Qty to Ship","Qte a exp&eacute;dier"
"Serials","No de s&eacute;rie"
"Are you sure that you want to remove this item?","Etes vous sur de vouloir supprimer cet &eacute;l&eacute;ment"
"Order ","Commande "
"This order doesnt belong to selected orders","Cette commande n'appartient pas aux commandes s&eacute;lectionn&eacute;es"
"Display / Hide Comments","Afficher / masquer les commentaires"
"This order doesnt belong to selected orders","Cette commande ne fait pas partie des commandes en cours de pr&eacute;paration"
"Carrier templates","Mod&egrave;les transporteur"
"Prepare orders","Pr&eacute;parer les commandes"
"Shipped Qty","Qte livr&eacute;e"
"Remains to ship","Restant a livrer"
"Shipping Description","Methode de livraison"
"Content to Ship","Contenu a exp&eacute;dier"
"Preparation information","Informations de pr&eacute;paration"
"Order Management Delay (Days)","Temps de pr&eacute;paration des commandes en jours"
"Order Weight Calculation","Calcul du poids des commandes"
"Enable automatic order weight calculation","Activer le mode de calcul automatique"
"Additional weight Method","Method de calcul du poids de l'emballage"
"Additional weight Value","Valeur du poids de l'emballage"
"Printing Options","Options d'impression"
"Print invoices twice if no tax","Imprimer les factures 2x si hors taxes"
"Print invoice twice if payment method is","Imprimer la facture is la m&eacute;thode de paiement est"
"Print invoices on print document button","Imprimer les factures lors du clic sur le bouton imprimer les documents"
"Print shipments on print document button","Imprimer les bons de livraison lors du clic sur le bouton imprimer les documents"
"Print Comments","Imprimer les commentaires"
"Order preparation steps","Etapes de pr&eacute;paration de commande"
"Show print picking list","Afficher Envoyer la liste des produits &agrave; l'imprimante"
"Show download picking list","Afficher le bouton imprimer la liste des produits"
"Show create shipments and invoices","Afficher le bouton cr&eacute;er les exp&eacute;ditions et factures"
"Show download documents","Afficher le bouton t&eacute;l&eacute;l&eacute;charger les documents"
"Show download shipping file button","Afficher le bouton t&eacute;l&eacute;charger le fichier transporteur"
"Commit button actions","Actions du bouton valider"
"Create shipments and invoices","Cr&eacute;er exp&eacute;ditions et factures"
"Print documents","Envoyer les documents a l'imprimante"
"Download documents","T&eacute;l&eacute;charger les documents"
"Print shipping label","Imprimer les &eacute;tiquettes transporteurs"
"Select next order","S&eacute;lectionner la prochaine commande"
"Miscelaneous","Divers"
"Show client computer download link","Afficher le lien de t&eacute;l&eacute;chargement magento client computer"
"Show order's comments","Afficher les commentaires"
"Default page size","Nombre de commandes affich&eacute;s par d&eacute;faut"
"Display product without stock management","Afficher les produits ne gerant pas les stocks"
"Display sub products","Afficher les sous produits"
"Release all products","Lib&eacute;rer tous les produits"
"Products released","Produits lib&eacute;r&eacute;s"
"Reserve all products","R&eacute;server tous les produits"
"Products reserved","Produits r&eacute;serv&eacute;s"
"Create invoices","Cr&eacute;er les factures"
"Pickup delivery orders","Commande &agrave; l'enl&egrave;vement"
"Print Preparation","Imprimer la feuille de pr&eacute;paration"
"Print method","M&eacute;thode d'impression"
"Download PDF","Telecharger le PDF"
"Send to printer (using Magento Client Computer)","Envoyer a l'imprimante (requiert magento client computer)"
"Mass","Traitement par lot"
"Order by order","Commande par commmande"
"Sort mode","Trier par"
"Order id","Commande"
"Shipment id","Exp&eacute;dition"
"Shipping Name","Destinataire"
"Additional information","Informations compl&eacute;mentaires"
"Orders shipping settings","Param&egrave;tres d'exp&eacute;dition"
"Notify !","Notifier"
"Pickup !","Retirer"
"No invoice","Pas de facture"
"No shipment","Pas d'expe"
"Bill to name","Destinataire"
"Pickup","Retrait"
"Mass notify","Notification en masse"
"Order pickup","Retrait de commande"
"Signature :","Signature"
"I undersign, %s attest to have picked up products on %s","Je soussigne, %s declare avoir retir&eacute; la commande le %s"
"Order #","Commande "
"Invoice %s","Facture %s"
"Shipment %s","Expe %s"
"Change shipping method","Modifier la methode d'exp&eacute;dition"
"Shipping methods changed","M&eacute;thodes de livraison modifi&eacute;es"
"Preparation information","Informations de pr&eacute;paration"
"Change to","Nouvelle m&eacute;thode"
"Location","Emplacement"
"You are preparing orders from warehouse : ","Vous pr&eacute;parez les commandes &agrave; partir du d&eacute;pot : "
"Operator : ","Op&eacute;rateur : "
"You are now using operator %s","Vous utilisez d&eacute;sormais l'op&eacute;rateur %s"
"You are now preparing orders from warehouse %s","Vous pr&eacute;parez d&eacute;sormais les commandes &agrave; partir du d&eacute;pot %s"
"Customers notified","Clients notifi&eacute;s"
"Tracking label","Libell&eacute; pour les num&eacute;ros de suivi"
"No warehouse assigned !","Aucun d&eacute;pot affect&eacute;"
"Capture invoice","Capturer les factures lors de leur création"
"Order considered by ERP : ","Commande consid&eacute;r&eacute;e par l'erp : "
"Tracking number","No de suivi"
"Unable to find order #%s","Commande no %s introuvable"
"Order #%s","Commande no %s"
"Qty scanned","Qte scannée"
"Qty to scan","Qte restant"
"COMMIT PACKAGING","VALIDER LE PACKAGE"
"Create shipment on commit","Créer l'expédition sur validation du packing"
"Packing commited","Packing confirm&eacute;"
"CANCEL","ANNULER"
"This order is already packed !","Cette commande &agrave; d&eacute;ja &eacute;t&eacute; pr&eacute;par&eacute;e"
"Scan order to Pack","Scanner la commande"
"Please scan products","Scanner les produits"
"An error occured","Une erreur est survenue"
"Unknown barcode ","Code barre inconnu "
"Product quantity already scanned !","Produit d&eacute;ja scann&eacute;"
" scanned"," scann&eacute;s"
" are missing !"," manquent"
"Display create shipments button","Afficher le bouton de cr&eacute;ation des exp&eacute;ditions"
"Order item removed from preparation","Produit supprim&eacute; de la pr&eacute;paration"
"Display picking list button","Afficher le bouton picking list"
"Display download document button","Afficher le bouton t&eacute;l&eacute;charger les documents"
"Display packing button","Afficher le bouton de packing"
"Display shipping label button","Afficher le bouton &eacute;tiquettes transporteur"
"Picking list options","Option de la picking list"
"One page per order","Une page par commande"
"Merged (contains products to pick for all orders)","Fusionnée (contient les produits à collecter pour toutes les commandes)"
"Create shipment and invoices Options","Option de cr&eacute;ation des factures et bons de livraison"
"Download documents Options","Option de t&eacute;l&eacute;chargement des documents"
"Packing Options","Options de packing"
"Prevent packing if order already shipped","Emp&ecirc;cher de packer une commande d&eacute;ja trait&eacute;e"
"Print packing slip when order is packed","Imprimer le bon de livraison apr&egrave;s packing"
"Print invoice when order is packed","Imprimer la facture apr&egrave;s packing"
"Ask for weight","Saisir le poids"
"Invoice only shipped items","Facturer uniquement les produits exp&eacute;di&eacute;s"
"ERP will try to capture invoice online","ERP capturera les fonds lors de la cr&eacute;ation de la facture"
"Create invoice for processed orders","Cr&eacute;er les factures pour les commandes trait&eacute;es"
"Create invoice only for shipped items (partial invoice)","Cr&eacute;er la facture uniquement pour les produits exp&eacute;di&eacute;s"
"Automatically add order in selected orders","Ajouter automatiquement la cmd aux cmd s&eacute;lectionn&eacute;es lors du scan"
"Serial numbers","No de s&eacute;rie"
"Display serials number","Afficher les num&eacute;ros de s&eacute;rie"
"If enabled, you'll be able to fill serials numbers for each product","Si actif, vous pourrez saisir les num&eacute;ros de s&eacute;rie de chaque produit"
"Print shipping label when order is packed","Imprimer l'&eacute;tiquette transporteur apr&egrave;s packing"
"Packing options","Options de packing"
"Display quantity buttons","Afficher les boutons pour modifier la quantit&eacute;"
"If enabled, you'll be able to set a product as scanned without using a barcode reader but simply clicking on + / - buttons","Si actif, vous pourrez modifier les quantit&eacute;s scann&eacute;es a l'aide des boutons + / -"
"Scan serial number after product barcode","Scanner le num&eacute;ro de s&eacute;rie apr&egrave;s le code barre"
"Please scan serial number for ","Veuillez scanner le num&eacute;ro de s&eacute;rie pour "
"Serial number added : ","Num&eacute;ro de s&eacute;rie enregistr&eacute; : "
" (press enter to skip)","(Appuyez sur entr&eacute;e pour passer)"
"No serial number saved","Pas de num&eacute;ro de s&eacute;rie enregistr&eacute;"
"Ask for parcel count","Saisir le nombre de colis"
"Please confirm the parcel count","Veuillez confirmer le nombre de colis"
"Create shipments","Cr&eacute;er les exp&eacute;ditions"
"Display notify button","Afficher le bouton notifier"
"Display finish button","Afficher le bouton terminer"
"Please select at least one order to prepare","S&eacute;lectionnez au moins une commande &agrave; pr&eacute;parer"
"Notify options","Options de notification"
"Send invoice notification email","Envoyer le mail de notification de facture"
"Send shipment notification email","Envoyer le mail de notification d exp&eacute;dition"
"Please select an order or scan the order barcode","S&eacute;lectionnez une commande ou scannez son codebarre"
"Display barcode","Affiche le codebarre"
"If enabled, add a column to display product barcode","Si activ&eacute;, ajoute une colonne pour afficher le codebarre du produit"
"Print","Imprimer"
"Force order dispatch in Order Preparation","Forcer le dispatch de la commande vers la Pr&eacute;paration de Commande"
"Order not yet considered by ERP","La commande n'est pas encore consid&eacute;r&eacute;e par l'ERP"
"Display current group only","Affiche le groupe courant uniquement"
"Image thumbnail size","Taille de la mignature"
"In pixels, applies to both width and height","En pixels, s'applique &agrave; la largeur et la hauteur"
"Display / Hide Comments","Afficher / cacher les commentaires"
"Save","Enregistrer"
"Back","Retour"
"Invoiced","Factur&eacute;"
"Shipped","Exp&eacute;di&eacute;"
"Please select an order or scan the order barcode","S&eacute;lectionnez une commande ou scannez son code barre"
"Download invoice","T&eacute;l&eacute;charger<br>la facture"
"Download packing slip","T&eacute;l&eacute;charger<br>le bon d'exp&eacute;dition"
"Order #%s packed","Commande #%s pr&eacute;par&eacute;e"
"Packing","Pr&eacute;paration"
"Create invoice on commit","Cr&eacute;&eacute;r la facture a la validation"
"Prevent packing if no invoice","Empecher la pr&eacute;pration si la facture est déja cr&eacute;&eacute;e"
"Add to selection","Ajouter a la s&eacute;lection"
"Mass actions","Actions en masse"
"Steps","Etapes"
"Print / Download documents","Imprimer / T&eacute;l&eacute;charger les documents"
"Create shipment and invoices","Cr&eacute;ation des factures et des bons de livraison"
"Allow scope change","Autoriser le changement de scope"
"Display selected orders","Afficher le Tab des commandes selectionn&eacute;es"
"Display stockless orders","Afficher le Tab des commandes en rupture de stock"
"Display ignored orders","Afficher le Tab des commandes ignor&eacute;es"
"Display fullstock orders","Afficher le Tab des commandes en stock"
"ERP Order view tabs","Onglets ERP de la commande"
"Allow release products","Authoriser la d&eacute;r&eacute;servation des produits"
"Allow reserve products","Authoriser la r&eacute;servation des produits"
"Allow print","Authoriser l'impression"
"Allow shipping method change","Authoriser la modification de la m&eacute;thode d'exp&eacute;dition"
"Display preparation information","Afficher les informations de pr&eacute;paration"
"Display products","Afficher les produits"
"Late orders","Commandes en retard"
"Single user order preparation mode","Mode utilisateur unique pour la pr&eacute;pration de commande"
"if you enable this option, the order preparation screen will work in single user mode","Limite l'&eacute;cran de pr&eacute;pration de commande &agrave; un utilisateur &agrave; la foi"
"No carrier template available for this order, unable to print the shipping label","Aucun modele transporteur disponible pour cette commande, impossible d'imprimer les &eacute;tiquettes transporteur"
"COMMIT PACKING","VALIDER LA PREPARATION"
"NEXT GROUP","GROUPE SUIVANT"
"LOGS","HISTORIQUE"
"Yes","Oui"
"No","Non"
"Name","Nom"
"Update","Mettre &agrave; jour"
"Order State","Etat de la commande"
"Order Status","Status de la commande"
"tab","onglet"
"by","par"
"Log into organizers who packed the order","Sauvegarde dans les Organizer qui a pr&eacute;par&eacute; la commande"
"Shipment#%s prepared by %s on warehouse %s","'Expedition#%s prepar&eacute;e par %s sur le depot %s'"
"Display drop down to change quantity in selected orders tab","Afficher le menu déroulant pour changer les quantités dans les commandes sélectionnées"
"This order is being dispatched (you can not cancel it).","Cette commande est en cours de préparation (vous ne pouvez pas l'annuler)"
"Current shipping method : %s","Méthode de livraison : %s"
"change to","Changer"
"Remove orders from selected orders","Retirer des commandes sélectionnées"
"Remove from selection","Retirer de la sélection"
"Orders successfully removed","Commandes retirées"
"No order to remove","Aucune commande à retirer"
"Order status label","Statut affiché de la commande"
"Custom Label","Etiquette transporteur configurable"
"Unable to ship order #%s, order is already %s","Impossible d'expedier la commande #%s car elle est déjà %s"
"Both (Merged + Order by Order)","Les deux (Fusionnée + Commande par commande)"
